web-scraper-order,web-scraper-start-url,skills-rest,skills-rest-href,name,description,Rating,invocation name,dynamic content,privacy policy,privacy policy-href,terms of use,terms of use-href,number of ratings,maker,skill rating,skill rating-href,Overall rating,category,sub-category,comment heading,comment heading-href,review,review stars,review date,review-pages,review-pages-href,skill-pages,skill-pages-href
"1564972033-204605","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Late coming Excuses","https://www.amazon.com/Shirish-Late-coming-Excuses/dp/B07GN5X28Q/ref=sr_1_165?fst=as%3Aoff&qid=1564969826&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-165","Late coming Excuses","Late coming Excuses is a skill to suggest you some unique excuses in case of getting late at work..

You can say:

""Alexa, load Late coming Excuses""
""Alexa, open Late coming Excuses""
""Alexa, tell Late coming Excuses""
""Alexa, start Late coming Excuses""
""Alexa, launch Late coming Excuses""

Please leave a 5-star review if you love this skill, or send us an email with your suggestions at shirishkalbhor@gmail.com. Your 5-star reviews encourage us to keep making more great skills, thanks!","Guidance Suggested.","late coming excuses","dynamic content.","Developer Privacy Policy","https://getstoryline.com/public/privacy.html","null","","3","by Shirish","3","https://www.amazon.com/product-reviews/B07GN5X28Q","2.4 out of 5 stars","Utilities","Alarms & Clocks","worked one time","https://www.amazon.com/gp/customer-reviews/R2AK5CMQK96NBC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07GN5X28Q","it would only give me one excuse and then kept going back to intro","1.0 out of 5 stars","April 11, 2019","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=11&fst=as%3Aoff&qid=1564969824&rnid=2661617011&ref=sr_pg_10"
"1564971730-203836","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Space X Info","https://www.amazon.com/badmunny-Space-X-Info/dp/B0771CSV5X/ref=sr_1_189?fst=as%3Aoff&qid=1564969828&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-189","Space X Info","This skill tells you the date and time of the next SpaceX launch. It also gives you the name of the rocket and the payload, if any, it is carrying.
It makes use of the SpaceX Data REST API (https://github.com/r-spacex/SpaceX-API).","null","space x. info","dynamic content.","null","","null","","2","by badmunny","2","https://www.amazon.com/product-reviews/B0771CSV5X","1.0 out of 5 stars","Utilities","Calendars & Reminders","Incorrect info","https://www.amazon.com/gp/customer-reviews/R3U9HOXD2Z0JYB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0771CSV5X","A launch is scheduled for today 2/5/18. Skill says Jan. 31.","1.0 out of 5 stars","February 6, 2018","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=12&fst=as%3Aoff&qid=1564969826&rnid=2661617011&ref=sr_pg_11"
"1564970622-200666","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Halloween Countdown","https://www.amazon.com/Tapgods-Halloween-Countdown/dp/B01MYSHROZ/ref=sr_1_269?fst=as%3Aoff&qid=1564969838&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-269","Halloween Countdown","Tells the number of days until Halloween. Just ask, ""Alexa, open Halloween Countdown.""","null","halloween countdown","dynamic content.","null","","null","","8","by Tapgods","8","https://www.amazon.com/product-reviews/B01MYSHROZ","3.9 out of 5 stars","Utilities","Calendars & Reminders","Works great, tells you when its 50% Off Candy Eve","https://www.amazon.com/gp/customer-reviews/R3JRYPG568CBWP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01MYSHROZ","This works perfectly, enabling me to figure out just how many days there are until Halloween which is the day before the big 50% Off Candy Holiday!","5.0 out of 5 stars","December 1, 2016","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=17&fst=as%3Aoff&qid=1564969836&rnid=2661617011&ref=sr_pg_16"
"1564974199-210605","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","MyStopwatch","https://www.amazon.com/Dylan-MyStopwatch/dp/B07CXG78JV/ref=sr_1_40?fst=as%3Aoff&qid=1564969810&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-40","MyStopwatch","A stopwatch app for Echo devices that has Start, Pause, Resume, Current Time, and Stop.


To start: 'Alexa, tell my stopwatch to start.'
To pause: 'Alexa, tell my stopwatch to pause.'
To resume: 'Alexa, tell my stopwatch to resume.'
To get the current time: 'Alexa, ask my stopwatch for the current time.'
To stop: 'Alexa, tell my stopwatch to stop.'
To get help: 'Alexa, ask my stopwatch for help.'

After each command (except for starting), Alexa will inform you of the current time of your stopwatch.","null","my stopwatch","dynamic content.","null","","null","","22","by Dylan","22","https://www.amazon.com/product-reviews/B07CXG78JV","3.9 out of 5 stars","Utilities","Alarms & Clocks","Need to Improve the Recognized Requests","https://www.amazon.com/gp/customer-reviews/RKQP9CQOBLDGX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG78JV","I can't simply ask such things as, ""How much time is on my stopwatch"". Still might be the best stopwatch option until Alexa adds a stopwatch as a native feature as it does with timers.","3.0 out of 5 stars","July 15, 2019","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=3&fst=as%3Aoff&qid=1564969807&rnid=2661617011&ref=sr_pg_2"
"1564972704-206321","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Timezone","https://www.amazon.com/Herman-Schaaf-Timezone/dp/B06XJRGRMM/ref=sr_1_111?fst=as%3Aoff&qid=1564969818&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-111","Timezone","Timezone is a simple skill that can answer questions like: 

 - ""What time is it in Tokyo?"",
 - ""What is the time difference between New York and Cape Town?"", and
 - ""How many hours is San Francisco behind New York?""","null","timezone","dynamic content.","null","","null","","3","by Herman Schaaf","3","https://www.amazon.com/product-reviews/B06XJRGRMM","2.5 out of 5 stars","Utilities","Unit Converters","","","","","","null","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=7&fst=as%3Aoff&qid=1564969816&rnid=2661617011&ref=sr_pg_6"
"1564973926-209809","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Russian Bells","https://www.amazon.com/ROAR-Russian-Bells/dp/B0784RCKLP/ref=sr_1_47?fst=as%3Aoff&qid=1564969810&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-47","Russian Bells","The unique & entrancing sound of the Kremlin and other Russian Orthodox churches.","null","russian bells","dynamic content.","null","","null","","15","by ROAR","15","https://www.amazon.com/product-reviews/B0784RCKLP","4.5 out of 5 stars","Utilities","Alarms & Clocks","Excellent","https://www.amazon.com/gp/customer-reviews/R1DYCWHURBEOGD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0784RCKLP","Excellent Bell Clarity! clear, reasonanting bells.","5.0 out of 5 stars","February 5, 2019","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=3&fst=as%3Aoff&qid=1564969807&rnid=2661617011&ref=sr_pg_2"
"1564974436-211320","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","remember this","https://www.amazon.com/RURx77-remember-this/dp/B072WCVV9X/ref=sr_1_30?fst=as%3Aoff&qid=1564969807&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-30","remember this","REMEMBER THIS allows you to create a list of items you want to remember.  Start your list by saying ADD TO LIST followed by the text you wish to add.  Use READ LIST to hear the list. A number is assigned to each item in the list.  To remove an item from the list say DELETE NUMBER n, where n is the number of the item you wish to remove.   You can clear the list by saying CLEAR LIST. You can also renumber the list (which may be helpful after deleting items). HELP and STOP are also available at any time.

REMEMBER THIS was originally written for the visually impaired, who cannot use the standard Alexa To Do skill, because it requires seeing the list to delete items.  The ability to verbally delete items easily was the primary driver for this skill.","null","remember this","dynamic content.","null","","null","","105","by RURx77","105","https://www.amazon.com/product-reviews/B072WCVV9X","3.3 out of 5 stars","Utilities","Calendars & Reminders","Can't remember crap 😒","https://www.amazon.com/gp/customer-reviews/R15ZOL1VNUGR7H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B072WCVV9X","this app is crap! Alexa does NOT remember anything she's supposed to!
Alexa needs a Major Update!","1.0 out of 5 stars","April 3, 2019","Next page→","https://www.amazon.com/RURx77-remember-this/product-reviews/B072WCVV9X/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=2&fst=as%3Aoff&qid=1564969805&rnid=2661617011&ref=sr_pg_1"
"1564970330-199780","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Carpool Helper","https://www.amazon.com/as-Carpool-Helper/dp/B01JPIPSXG/ref=sr_1_289?fst=as%3Aoff&qid=1564969842&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-289","Carpool Helper","This Alexa Skill can keep track of the days that you drive for your carpool and remind you in the mornings. Currently, it works with carpools based on days of the week (i.e. One person drives on certain days, and other drives on other days). The first time, the app will guide you through the setup process, then you can ask it if you are driving the carpool today, or if you are driving on a certain day (for example ""Am I driving carpool tomorrow?"" or ""Am I driving carpool on August 10th?""","null","carpool helper","dynamic content.","null","","null","","1","by as","1","https://www.amazon.com/product-reviews/B01JPIPSXG","3.0 out of 5 stars","Utilities","Calendars & Reminders","","","","","","null","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=19&fst=as%3Aoff&qid=1564969840&rnid=2661617011&ref=sr_pg_18"
"1564971018-201806","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Binary Conversion","https://www.amazon.com/bimurto-Binary-Conversion/dp/B06Y6KKX55/ref=sr_1_237?fst=as%3Aoff&qid=1564969834&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-237","Binary Conversion","Ask alexa to convert a number into it's binary quivalent, and alexa will read back the sequence of 1's and 0's back to you. You can ask ""what is the binary of 16?"" and alexa will read back ""The binary for 16 is 1, 0, 0, 0, 0""","null","binary conversion","dynamic content.","null","","null","","7","by bimurto","7","https://www.amazon.com/product-reviews/B06Y6KKX55","3.7 out of 5 stars","Utilities","Unit Converters","Alexa is adaptive","https://www.amazon.com/gp/customer-reviews/RPFEN27LVDRIO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06Y6KKX55","Interesting","5.0 out of 5 stars","April 18, 2017","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=15&fst=as%3Aoff&qid=1564969832&rnid=2661617011&ref=sr_pg_14"
"1564972354-205432","https://www.amazon.com/s?bbn=14284882011&rh=n%3A13727921011%2Cn%3A%2113727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&dc&fst=as%3Aoff&qid=1564768572&rnid=2661617011&ref=lp_14284882011_nr_p_72_3","Particle Cloud","https://www.amazon.com/Carrot-Pants-Studios-Particle-Cloud/dp/B07BR3DKXG/ref=sr_1_136?fst=as%3Aoff&qid=1564969822&refinements=p_72%3A2661621011&rnid=2661617011&s=alexa-skills&sr=1-136","Particle Cloud","Connect to your online Particle Photon, Electron and Core devices, get and set variables and call cloud functions using your Alexa device","Guidance Suggested.","particle cloud","dynamic content.","Developer Privacy Policy","https://www.particle.io/legal/privacy","null","","8","by Carrot Pants Studios","8","https://www.amazon.com/product-reviews/B07BR3DKXG","2.7 out of 5 stars","Utilities","Device Tracking","“No Active Device” w.t.f.","https://www.amazon.com/gp/customer-reviews/R3EKLRHS0TRIH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07BR3DKXG","Doesn’t work at all. It can list online devices on my account, beyond that nothing.","1.0 out of 5 stars","October 3, 2018","","","Next→","https://www.amazon.com/s?i=alexa-skills&bbn=14284882011&rh=n%3A13727921011%2Cn%3A13727922011%2Cn%3A14284882011%2Cp_72%3A2661621011&lo=list&dc&page=9&fst=as%3Aoff&qid=1564969820&rnid=2661617011&ref=sr_pg_8"
